time,Lyman_alpha,MgII,au_factor,Lyman_alpha_corr,MgII_corr
2017-04-20,0.0064676446,0.26533818,1.0095266,0.0065292595,0.26786596
2017-04-21,0.0065370896,0.26586452,1.0100878,0.0066030347,0.26854652
2017-05-04,0.0061459346,0.2633981,1.0168575,0.0062495396,0.26783836
2017-05-05,0.0061444566,0.26335472,1.017339,0.006250995,0.26792103
2017-05-06,0.00612021,0.26329193,1.0178167,0.0062292516,0.2679829
2017-05-07,0.0061637466,0.2634512,1.0182909,0.006276487,0.26826996
2017-05-08,0.006140436,0.2633051,1.0187619,0.006255642,0.2682452
2017-05-09,0.0060981875,0.2630457,1.0192295,0.0062154527,0.26810396
2017-05-10,0.006103892,0.26301533,1.0196941,0.0062241023,0.26819518
2017-05-11,0.006084458,0.26301202,1.0201554,0.0062070927,0.26831314
2017-05-12,0.006104241,0.26311168,1.0206134,0.0062300703,0.26853532
2017-05-13,0.0061136214,0.26320514,1.0210676,0.006242421,0.26875025
2017-05-14,0.0061295102,0.26329315,1.021518,0.006261405,0.2689587
2017-05-15,0.0061345804,0.2634892,1.021964,0.00626932,0.26927644
2017-05-16,0.0061963494,0.2638814,1.0224053,0.0063351803,0.26979372
2017-05-17,0.006222917,0.2641677,1.0228412,0.006365056,0.2702016
2017-05-18,0.006296085,0.2646981,1.0232714,0.006442604,0.270858
2017-05-19,0.0063933395,0.26520023,1.0236951,0.0065448303,0.27148417
2017-05-20,0.0064187385,0.2653315,1.0241117,0.0065735057,0.2717291
2017-05-21,0.006432395,0.2654131,1.0245205,0.0065901205,0.27192116
2017-05-22,0.0064419154,0.26550555,1.0249206,0.0066024517,0.2721221
2017-05-23,0.0064541525,0.26560837,1.0253115,0.0066175167,0.2723313
2017-05-24,0.0064316345,0.26552227,1.0256922,0.0065968777,0.27234414
2017-05-25,0.0063857627,0.26531294,1.0260625,0.0065521915,0.27222764
2017-05-26,0.0063664736,0.265233,1.026422,0.0065346886,0.272241
2017-05-27,0.0063192076,0.26498327,1.0267706,0.0064883768,0.27207702
2017-05-28,0.006194668,0.26433352,1.0271084,0.0063625956,0.2714992
2017-05-29,0.0061049843,0.2638041,1.0274359,0.00627248,0.2710418
2017-05-30,0.0060554906,0.26347637,1.0277536,0.0062235524,0.2707888
