date,fluxadjflux,target_flux,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,year,month,day,date_str,mgii_index,source_id,mgii_lag1,mgii_lag2,mgii_lag3,mgii_lag4,mgii_lag5,mgii_lag6,mgii_lag7,mgii_lag27
2004-11-24,105.43333333333334,108.86666666666667,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,138.13333333333333,135.20000000000002,131.20000000000002,132.7,137.20000000000002,139.46666666666667,130.55,132.45,2004,11,24,11/24/2004,-999.0,0.0,0.27241,0.27249,0.2721,0.27187,0.27156,0.27124,0.27153,0.27425
2004-11-25,106.93333333333334,102.46666666666665,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,138.13333333333333,135.20000000000002,131.20000000000002,132.7,137.20000000000002,139.46666666666667,130.55,2004,11,25,11/25/2004,0.27352,6.0,-999.0,0.27241,0.27249,0.2721,0.27187,0.27156,0.27124,0.27458
2004-11-26,109.33333333333333,98.16666666666667,106.93333333333334,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,138.13333333333333,135.20000000000002,131.20000000000002,132.7,137.20000000000002,139.46666666666667,2004,11,26,11/26/2004,0.27367,6.0,0.27352,-999.0,0.27241,0.27249,0.2721,0.27187,0.27156,0.27438
2004-11-27,107.63333333333333,94.53333333333335,109.33333333333333,106.93333333333334,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,138.13333333333333,135.20000000000002,131.20000000000002,132.7,137.20000000000002,2004,11,27,11/27/2004,0.27441,6.0,0.27367,0.27352,-999.0,0.27241,0.27249,0.2721,0.27187,0.27468
2004-11-28,109.10000000000001,93.63333333333333,107.63333333333333,109.33333333333333,106.93333333333334,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,138.13333333333333,135.20000000000002,131.20000000000002,132.7,2004,11,28,11/28/2004,0.27445,6.0,0.27441,0.27367,0.27352,-999.0,0.27241,0.27249,0.2721,0.27393
2004-11-29,108.96666666666665,90.2,109.10000000000001,107.63333333333333,109.33333333333333,106.93333333333334,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,138.13333333333333,135.20000000000002,131.20000000000002,2004,11,29,11/29/2004,0.27407,6.0,0.27445,0.27441,0.27367,0.27352,-999.0,0.27241,0.27249,0.27312
2004-11-30,106.93333333333334,87.46666666666665,108.96666666666665,109.10000000000001,107.63333333333333,109.33333333333333,106.93333333333334,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,138.13333333333333,135.20000000000002,2004,11,30,11/30/2004,0.27359,6.0,0.27407,0.27445,0.27441,0.27367,0.27352,-999.0,0.27241,0.27286
2004-12-01,108.86666666666667,87.86666666666667,106.93333333333334,108.96666666666665,109.10000000000001,107.63333333333333,109.33333333333333,106.93333333333334,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,138.13333333333333,2004,12,1,12/01/2004,0.27288,6.0,0.27359,0.27407,0.27445,0.27441,0.27367,0.27352,-999.0,0.27249
2004-12-02,102.46666666666665,84.83333333333333,108.86666666666667,106.93333333333334,108.96666666666665,109.10000000000001,107.63333333333333,109.33333333333333,106.93333333333334,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,135.26666666666668,2004,12,2,12/02/2004,0.27227,6.0,0.27288,0.27359,0.27407,0.27445,0.27441,0.27367,0.27352,0.27224
2004-12-03,98.16666666666667,82.86666666666667,102.46666666666665,108.86666666666667,106.93333333333334,108.96666666666665,109.10000000000001,107.63333333333333,109.33333333333333,106.93333333333334,105.43333333333334,105.76666666666667,103.76666666666667,99.0,97.46666666666665,101.13333333333333,102.89999999999999,103.23333333333333,103.8,103.56666666666666,97.7,95.0,94.23333333333333,93.53333333333335,103.53333333333335,196.39999999999998,122.0,135.1,125.36666666666667,2004,12,3,12/03/2004,0.27235,6.0,0.27227,0.27288,0.27359,0.27407,0.27445,0.27441,0.27367,0.27277
